                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.58234,                0.32489,                0.93638,                0.99226,                0.96831,                0.98302,                0.78742,                0.79138,                0.32203,                0.95928,                0.00026,                0.00026,                0.00026
                     83,                0.59042,                0.32546,                0.94331,                0.99179,                0.97645,                0.99469,                0.78464,                0.79358,                0.32049,                0.96287,             0.00024762,             0.00024762,             0.00024762
                     84,                0.57859,                0.32717,                0.93114,                0.98266,                0.98964,                0.99467,                0.78456,                0.78875,                0.32312,                0.96109,             0.00023525,             0.00023525,             0.00023525
                     85,                0.56198,                 0.3171,                0.92787,                0.97862,                0.99024,                0.99442,                0.79469,                0.79157,                0.32372,                0.96686,             0.00022288,             0.00022288,             0.00022288
                     86,                0.57708,                0.31757,                0.92912,                0.97969,                0.99085,                0.99452,                0.79628,                0.78136,                0.31469,                0.95857,              0.0002105,              0.0002105,              0.0002105
                     87,                0.55558,                0.31173,                0.92326,                0.98794,                0.96617,                 0.9931,                0.78592,                0.79027,                0.32438,                0.96591,             0.00019813,             0.00019813,             0.00019813
                     88,                0.55344,                0.31212,                0.92324,                0.98755,                0.98544,                 0.9945,                0.79339,                 0.7937,                0.32377,                  0.968,             0.00018575,             0.00018575,             0.00018575
                     89,                0.55303,                0.30662,                 0.9284,                0.98765,                0.98378,                0.99448,                0.79084,                0.78708,                0.31834,                0.96548,             0.00017338,             0.00017338,             0.00017338
                     90,                0.54695,                0.30741,                0.92382,                0.98714,                0.96454,                0.99299,                0.79483,                0.78374,                0.31429,                0.96821,               0.000161,               0.000161,               0.000161
                     91,                0.48921,                0.26039,                0.88894,                 0.9933,                0.96744,                0.98779,                0.78595,                0.79546,                0.31748,                0.96592,             0.00014862,             0.00014862,             0.00014862
                     92,                0.47851,                0.25877,                0.88598,                0.99302,                0.96588,                0.99315,                0.78754,                0.79376,                0.31435,                0.96858,             0.00013625,             0.00013625,             0.00013625
                     93,                0.47319,                 0.2574,                0.88424,                0.98803,                0.98442,                0.99448,                0.78179,                0.80034,                0.32286,                   0.97,             0.00012387,             0.00012387,             0.00012387
                     94,                0.45703,                0.24844,                0.87634,                0.98916,                0.98006,                 0.9942,                0.78932,                0.79113,                 0.3186,                0.97116,              0.0001115,              0.0001115,              0.0001115
                     95,                0.44895,                0.24629,                0.87123,                0.98835,                0.98571,                0.99389,                0.79009,                0.78454,                 0.3178,                0.96898,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.44728,                0.24702,                0.87555,                0.99258,                 0.9912,                0.99452,                 0.7889,                0.78627,                 0.3213,                0.97092,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                0.43664,                 0.2392,                0.86863,                 0.9926,                0.98366,                0.99473,                0.78917,                0.78232,                0.31691,                0.96881,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                0.44025,                0.24097,                0.87274,                0.99047,                0.96746,                0.97913,                0.78495,                0.78031,                0.31399,                0.96786,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                0.43264,                0.23664,                0.87287,                0.98874,                0.96825,                0.97948,                0.78521,                0.78708,                0.31317,                0.96966,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                0.42509,                0.23541,                0.86862,                0.99353,                 0.9834,                0.99468,                0.78806,                0.78496,                0.31246,                0.97005,              3.725e-05,              3.725e-05,              3.725e-05
